time	I(L1)
Step Information: Lin=10n  (Run: 1/7)
1.034757851848917e-004	9.625230e+000
1.037687539348917e-004	9.596295e+000
1.040617226848917e-004	9.571296e+000
1.043546914348917e-004	9.550562e+000
1.046476601848917e-004	9.534351e+000
1.049406289348916e-004	9.522852e+000
1.052335976848916e-004	9.516180e+000
1.055265664348916e-004	9.514383e+000
1.058195351848916e-004	9.517435e+000
1.061125039348916e-004	9.525246e+000
1.064054726848916e-004	9.537656e+000
1.066984414348916e-004	9.554445e+000
1.069914101848916e-004	9.575336e+000
1.072843789348916e-004	9.599993e+000
1.075773476848916e-004	9.628036e+000
1.078703164348916e-004	9.659042e+000
1.081632851848916e-004	9.692547e+000
1.084562539348916e-004	9.728062e+000
1.087492226848916e-004	9.765074e+000
1.090421914348916e-004	9.803054e+000
1.093351601848916e-004	9.841467e+000
1.096281289348916e-004	9.879778e+000
1.099210976848916e-004	9.917459e+000
1.102140664348916e-004	9.953994e+000
1.105070351848916e-004	9.988892e+000
1.108000039348916e-004	1.002169e+001
1.110929726848916e-004	1.005196e+001
1.113859414348915e-004	1.007930e+001
1.116789101848915e-004	1.010338e+001
1.119718789348915e-004	1.012390e+001
1.122648476848915e-004	1.014061e+001
1.125578164348915e-004	1.015332e+001
1.128507851848915e-004	1.016191e+001
1.131437539348915e-004	1.016630e+001
1.134367226848915e-004	1.016648e+001
1.137296914348915e-004	1.016250e+001
1.140226601848915e-004	1.015445e+001
1.143156289348915e-004	1.014250e+001
1.146085976848915e-004	1.012685e+001
1.149015664348915e-004	1.010776e+001
1.151945351848915e-004	1.008554e+001
1.154875039348915e-004	1.006053e+001
1.157804726848915e-004	1.003311e+001
1.160734414348915e-004	1.000367e+001
1.163664101848915e-004	9.972662e+000
1.166593789348915e-004	9.940510e+000
1.169523476848914e-004	9.907669e+000
1.172453164348914e-004	9.874588e+000
1.175382851848914e-004	9.841715e+000
1.178312539348914e-004	9.809487e+000
1.181242226848914e-004	9.778334e+000
1.184171914348914e-004	9.748665e+000
1.187101601848914e-004	9.720870e+000
1.190031289348914e-004	9.695313e+000
1.192960976848914e-004	9.672324e+000
1.195890664348914e-004	9.652199e+000
1.198820351848914e-004	9.635187e+000
1.201750039348914e-004	9.621496e+000
1.204679726848914e-004	9.611280e+000
1.207609414348914e-004	9.604650e+000
1.210539101848914e-004	9.601658e+000
1.213468789348914e-004	9.602311e+000
1.216398476848914e-004	9.606562e+000
1.219328164348914e-004	9.614314e+000
1.222257851848913e-004	9.625425e+000
1.225187539348913e-004	9.639705e+000
1.228117226848913e-004	9.656922e+000
1.231046914348913e-004	9.676809e+000
1.233976601848913e-004	9.699062e+000
1.236906289348913e-004	9.723347e+000
1.239835976848913e-004	9.749308e+000
1.242765664348913e-004	9.776567e+000
1.245695351848913e-004	9.804736e+000
1.248625039348913e-004	9.833414e+000
1.251554726848913e-004	9.862200e+000
1.254484414348913e-004	9.890697e+000
1.257414101848913e-004	9.918512e+000
1.260343789348913e-004	9.945271e+000
1.263273476848913e-004	9.970613e+000
1.266203164348913e-004	9.994208e+000
1.269132851848913e-004	1.001575e+001
1.272062539348913e-004	1.003496e+001
1.274992226848913e-004	1.005160e+001
1.277921914348912e-004	1.006547e+001
1.280851601848912e-004	1.007641e+001
1.283781289348912e-004	1.008430e+001
1.286710976848912e-004	1.008907e+001
1.289640664348912e-004	1.009069e+001
1.292570351848912e-004	1.008916e+001
1.295500039348912e-004	1.008455e+001
1.298429726848912e-004	1.007695e+001
1.301359414348912e-004	1.006651e+001
1.304289101848912e-004	1.005339e+001
